path,pages,tables_raw,tables_kept,tables_discarded,pages_with_drawings,pages_drawings_no_raw_table,pages_with_visual_rect,pages_visual_rect_no_raw_table,pages_with_any_discard,arbiter_eligible_blocks,arbiter_ambiguous_blocks,seconds,error
ASSIST@X/2025/DECRETOS FISCALES/DECRETO_beneficios+fiscales_eventuales+del+campo_DOF_17122025.pdf,3,0,0,0,3,3,0,0,0,0,0,0.165,
ASSIST@X/2025/DECRETOS FISCALES/DECRETO_estímulo+fiscal_IEPS_videojuegos_DOF_31122025.pdf,3,0,0,0,3,3,0,0,0,0,0,0.136,
ASSIST@X/2025/DECRETOS FISCALES/DECRETO_estímulos+fiscales_Polos+de+Desarrollo_DOF+22052025.pdf,7,0,0,0,7,7,0,0,0,0,0,0.536,
ASSIST@X/2025/DECRETOS FISCALES/DECRETO_estímulos+fiscales_Polos+de+Desarrollo_VESP_DOF+31072025.pdf,5,0,0,0,5,5,0,0,0,0,0,0.265,
ASSIST@X/2025/DECRETOS FISCALES/DECRETO_modifica_diversos+estímulos_DOF_31122025.pdf,5,0,0,0,5,5,0,0,0,0,0,0.314,
ASSIST@X/2025/DECRETOS FISCALES/DECRETO_modifica_subsidio+para+el+empleo_DOF_31122025.pdf,3,0,0,0,3,3,0,0,0,0,0,0.135,
ASSIST@X/2025/DECRETOS FISCALES/Decreto+estímulos+derechos+por+servicios+migratorios_DOF_30062025.pdf,3,1,1,0,3,2,0,0,0,0,0,0.207,
ASSIST@X/2025/LEYES FEDERALES/CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS.pdf,400,0,0,0,400,400,0,0,0,0,0,18.693,
ASSIST@X/2025/LEYES FEDERALES/CÓDIGO CIVIL FEDERAL.pdf,368,0,0,0,368,368,0,0,0,0,0,14.184,
ASSIST@X/2025/LEYES FEDERALES/CÓDIGO DE COMERCIO.pdf,288,0,0,0,288,288,0,0,0,0,0,9.103,
ASSIST@X/2025/LEYES FEDERALES/CÓDIGO FISCAL DE LA FEDERACIÓN.pdf,363,1,1,0,363,362,0,0,0,0,0,18.495,
ASSIST@X/2025/LEYES FEDERALES/LEY ADUANERA.pdf,204,0,0,0,204,204,0,0,0,0,0,8.539,
ASSIST@X/2025/LEYES FEDERALES/LEY DE COMERCIO EXTERIOR.pdf,39,0,0,0,39,39,0,0,0,0,0,2.426,
ASSIST@X/2025/LEYES FEDERALES/LEY DE INGRESOS DE LA FEDERACIÓN PARA EL EJERCICIO FISCAL DE 2025.pdf,41,2,2,0,41,39,0,0,0,0,0,5.806,
ASSIST@X/2025/LEYES FEDERALES/LEY DE INGRESOS SOBRE HIDROCARBUROS.pdf,43,12,12,0,43,32,0,0,0,0,0,1.829,
ASSIST@X/2025/LEYES FEDERALES/LEY DE LOS IMPUESTOS GENERALES DE IMPORTACIÓN Y DE EXPORTACIÓN.pdf,859,807,662,145,859,83,0,0,144,0,0,65.671,
ASSIST@X/2025/LEYES FEDERALES/LEY DEL IMPUESTO AL VALOR AGREGADO.pdf,128,0,0,0,128,128,0,0,0,0,0,4.6,
ASSIST@X/2025/LEYES FEDERALES/LEY DEL IMPUESTO ESPECIAL SOBRE PRODUCCIÓN Y SERVICIOS.pdf,156,10,10,0,156,149,0,0,0,0,0,5.512,
ASSIST@X/2025/LEYES FEDERALES/LEY DEL IMPUESTO SOBRE LA RENTA.pdf,313,8,8,0,313,307,0,0,0,0,0,15.318,
ASSIST@X/2025/LEYES FEDERALES/LEY DEL INSTITUTO DEL FONDO NACIONAL DE LA VIVIENDA PARA LOS TRABAJADORES.pdf,93,0,0,0,93,93,0,0,0,0,0,3.528,
ASSIST@X/2025/LEYES FEDERALES/LEY DEL SEGURO SOCIAL.pdf,178,1,1,0,178,177,0,0,0,0,0,6.792,
ASSIST@X/2025/LEYES FEDERALES/LEY DEL SERVICIO DE ADMINISTRACIÓN TRIBUTARIA.pdf,29,0,0,0,29,29,0,0,0,0,0,1.062,
ASSIST@X/2025/LEYES FEDERALES/LEY FEDERAL DE DERECHOS.pdf,564,93,92,1,564,502,0,0,1,0,0,25.204,
ASSIST@X/2025/LEYES FEDERALES/LEY FEDERAL DEL TRABAJO.pdf,450,97,94,3,450,418,0,0,3,0,0,19.832,
ASSIST@X/2025/LEYES FEDERALES/LEY GENERAL DE SOCIEDADES MERCANTILES.pdf,62,0,0,0,62,62,0,0,0,0,0,2.181,
ASSIST@X/2025/LEYES FEDERALES/LEY GENERAL DE TÍTULOS Y OPERACIONES DE CRÉDITO.pdf,118,0,0,0,118,118,0,0,0,0,0,5.008,
ASSIST@X/2025/REGLAMENTOS FEDERALES/REGLAMENTO DE LA LEY ADUANERA.pdf,74,0,0,0,74,74,0,0,0,0,0,2.993,
ASSIST@X/2025/REGLAMENTOS FEDERALES/REGLAMENTO DE LA LEY DE COMERCIO EXTERIOR.pdf,64,0,0,0,64,64,0,0,0,0,0,2.38,
ASSIST@X/2025/REGLAMENTOS FEDERALES/REGLAMENTO DE LA LEY DE INGRESOS SOBRE HIDROCARBUROS.pdf,10,0,0,0,10,10,0,0,0,0,0,0.371,
ASSIST@X/2025/REGLAMENTOS FEDERALES/REGLAMENTO DE LA LEY DEL IMPUESTO AL VALOR AGREGADO.pdf,16,0,0,0,16,16,0,0,0,0,0,0.651,
ASSIST@X/2025/REGLAMENTOS FEDERALES/REGLAMENTO DE LA LEY DEL IMPUESTO ESPECIAL SOBRE PRODUCCIÓN Y SERVICIOS.pdf,4,0,0,0,4,4,0,0,0,0,0,0.153,
ASSIST@X/2025/REGLAMENTOS FEDERALES/REGLAMENTO DE LA LEY DEL IMPUESTO SOBRE LA RENTA.pdf,93,0,0,0,93,93,0,0,0,0,0,4.559,
ASSIST@X/2025/REGLAMENTOS FEDERALES/REGLAMENTO DE LA LEY DEL INSTITUTO DEL FONDO NACIONAL DE LA VIVIENDA PARA LOS TRABAJADORES EN MATERIA DE TRANSPARENCIA Y ACCESO A LA INFORMACIÓN.pdf,5,0,0,0,5,5,0,0,0,0,0,0.138,
"ASSIST@X/2025/REGLAMENTOS FEDERALES/REGLAMENTO DE LA LEY DEL SEGURO SOCIAL PARA LA CONSTITUCIÓN, INVERSIÓN Y USO PARA LA OPERACIÓN DE LAS RESERVAS FINANCIERAS Y ACTUARIALES Y LA RESERVA GENERAL FINANCIERA Y ACTUARIAL.pdf",6,0,0,0,6,6,0,0,0,0,0,0.271,
"ASSIST@X/2025/REGLAMENTOS FEDERALES/REGLAMENTO DE LA LEY DEL SEGURO SOCIAL, EN MATERIA DE ADMINISTRACIÓN Y ENAJENACIÓN DE BIENES ADJUDICADOS CON MOTIVO DE LA APLICACIÓN DEL PROCEDIMIENTO ADMINISTRATIVO DE EJECUCIÓN.pdf",19,0,0,0,19,19,0,0,0,0,0,0.749,
ASSIST@X/2025/REGLAMENTOS FEDERALES/REGLAMENTO DE LOS ARTÍCULOS 121 Y 122 DE LA LEY FEDERAL DEL TRABAJO.pdf,6,0,0,0,6,6,0,0,0,0,0,0.262,
